rts,src,dest,seqn,hops
46437533,9,2,0,3
48931272,5,9,0,4
53063089,1,2,0,1
53446780,2,6,0,2
53651916,10,3,0,1
55305650,7,9,0,2
56198362,8,10,0,2
59880060,6,5,0,2
76572678,7,10,1,1
77312516,10,2,1,2
80170739,2,8,1,5
81716496,8,7,1,3
84072657,4,6,1,1
87545739,1,8,1,4
89214108,9,7,1,2
90592937,6,6,1,0
106826676,4,4,2,0
108938669,7,2,2,1
109813865,1,2,2,1
111905831,9,9,2,0
112447241,8,6,2,4
119437577,3,2,2,3
120314335,6,2,2,1
122295256,2,8,2,5
135860903,5,5,3,0
137813774,1,2,3,1
138827706,9,9,3,0
138879581,4,5,3,3
140056791,10,9,3,1
145698369,6,10,3,2
146669853,3,8,3,1
146938016,8,2,3,4
149399836,7,7,3,0
150420203,2,8,3,5
166526547,5,3,4,5
166762406,7,1,4,1
167572725,6,10,4,2
171181448,10,9,4,1
173219610,3,4,4,4
174090239,9,7,4,2
174313737,8,2,4,4
175092051,2,2,4,0
176323369,1,10,4,3
196214693,6,7,5,1
196814531,4,2,5,2
197869042,5,5,5,0
198129431,7,5,5,1
198970654,9,4,5,5
201188851,3,2,5,3
202026518,2,3,5,4
203765055,10,10,5,0
204939716,1,2,5,1
208966451,8,7,5,3
225844730,9,4,6,5
226775459,6,3,6,3
228321773,4,6,6,1
228420878,10,8,6,2
229096028,1,4,6,2
230795872,3,8,6,1
231466468,8,7,6,3
233649912,7,3,6,2
241558310,5,9,6,4
241931151,2,9,6,4
256697092,7,10,7,1
257775566,8,3,7,1
258970762,2,4,7,4
259012280,6,1,7,1
263469066,5,4,7,4
263689389,1,2,7,2
266857926,4,4,7,0
266919710,3,8,7,1
270596027,9,4,7,5
271275665,10,3,7,1
286012981,8,1,8,4
286687448,9,2,8,3
290947706,7,10,8,1
292216069,1,7,8,1
293064046,4,2,8,2
294188922,5,2,8,1
294807671,10,9,8,1
296076424,2,2,8,0
297572783,3,6,8,3
298689591,6,2,8,1
316188528,9,2,9,3
319514404,4,1,9,2
319714179,10,7,9,1
320823418,5,10,9,3
325900284,1,3,9,3
325930689,8,9,9,1
326762439,7,1,9,1
327137512,2,1,9,1
346105756,8,8,10,0
346821680,5,10,10,3
