sts,src,dest,seqn
46238718,9,2,0
47457089,4,3,0
48522566,5,9,0
52929661,1,2,0
53309004,2,6,0
53559204,10,3,0
55170876,7,9,0
56055853,8,10,0
59254711,3,4,0
59668338,6,5,0
76467753,7,10,1
77106079,10,2,1
79667453,2,8,1
79989087,3,7,1
80319443,5,2,1
81041536,8,7,1
84003964,4,6,1
87164055,1,8,1
89098093,9,7,1
90590212,6,6,1
106823952,4,4,2
108912737,7,2,2
109567892,10,4,2
109773411,1,2,2
111903106,9,9,2
112243353,8,6,2
116499731,5,4,2
119271263,3,2,2
120238325,6,2,2
120511203,2,8,2
135858179,5,5,3
137758754,1,2,3
138558327,4,5,3
138824982,9,9,3
139926065,10,9,3
145472701,6,10,3
146629710,3,8,3
146727729,8,2,3
149397112,7,7,3
149995578,2,8,3
166194444,5,3,4
166624002,7,1,4
167425824,6,10,4
171043579,10,9,4
171817212,3,4,4
171863339,4,7,4
173587104,8,2,4
173621858,9,7,4
175089326,2,2,4
176117164,1,10,4
196160201,6,7,5
196660216,4,2,5
197866317,5,5,5
198045877,7,5,5
198707470,9,4,5
201051585,3,2,5
201698703,2,3,5
203762329,10,10,5
204851555,1,2,5
208821477,8,7,5
225660594,9,4,6
226480838,6,3,6
228245825,4,6,6
228347939,10,8,6
228960911,1,4,6
230739086,3,8,6
231376492,8,7,6
233514629,7,3,6
240131943,5,9,6
240441217,2,9,6
256561504,7,10,7
257673367,8,3,7
258776826,2,4,7
258902713,6,1,7
263303819,5,4,7
263446220,1,2,7
266848460,3,8,7
266855202,4,4,7
270394967,9,4,7
271168651,10,3,7
285845242,8,1,8
286512483,9,2,8
290818989,7,10,8
292125342,1,7,8
292840503,4,2,8
294076930,5,2,8
294769815,10,9,8
296073700,2,2,8
297332837,3,6,8
298644575,6,2,8
315988719,9,2,9
318128949,6,3,9
318192212,3,10,9
318871705,10,7,9
319198951,4,1,9
320561307,5,10,9
325672238,1,3,9
325892116,8,9,9
326631486,7,1,9
327059006,2,1,9
346102879,8,8,10
346608335,5,10,10
346809115,6,3,10
349094244,1,7,10
351816618,4,1,10
353499155,7,9,10
353925745,2,7,10
356637483,10,9,10
357426741,3,6,10
359848247,9,6,10
381342708,5,8,11
381472621,2,8,11
383036114,3,4,11
383832227,6,8,11
385391138,1,9,11
385921029,7,3,11
386738495,4,2,11
386962255,8,4,11
387309358,10,10,11
389082620,9,4,11
407910352,6,8,12
411155404,7,7,12
412191369,2,3,12
412196630,8,8,12
413332468,10,6,12
416562996,1,5,12
417386603,4,4,12
417691996,9,2,12
418030209,5,6,12
418707990,3,2,12
437567362,3,3,13
442620978,4,1,13
442639583,5,4,13
442677299,9,2,13
444363243,2,7,13
444806004,8,8,13
446318045,10,1,13
446827278,7,2,13
448019727,6,3,13
450609888,1,9,13
466012242,6,3,14
468928514,7,8,14
471769495,2,7,14
472793733,10,7,14
474531745,1,9,14
475175993,4,3,14
475983332,5,8,14
476879496,9,2,14
476993505,8,4,14
479434879,3,7,14
496684117,6,5,15
497037889,7,6,15
498066369,2,2,15
500328638,1,5,15
501856752,3,8,15
503717708,5,9,15
507477879,8,5,15
508715609,10,2,15
510363872,9,3,15
510472871,4,7,15
526644743,4,9,16
528043885,9,7,16
530491471,5,7,16
531157893,8,9,16
532754866,3,10,16
533949743,6,1,16
534000494,1,9,16
534863719,10,8,16
537901980,2,4,16
538569142,7,10,16
560011354,2,2,17
562038348,5,4,17
565489240,3,10,17
568590760,9,5,17
568704771,8,5,17
569121618,6,10,17
569691616,4,2,17
570242839,10,7,17
570303561,7,9,17
570523585,1,10,17
587546029,7,5,18
593012634,9,9,18
593902231,4,10,18
595394728,6,4,18
596999884,5,8,18
597542608,2,10,18
597598614,3,2,18
599126645,8,1,18
599449982,10,4,18
599697239,1,5,18
616842904,7,4,19
617423519,8,1,19
618601709,1,6,19
623785592,10,9,19
624082990,3,6,19
624358332,5,5,19
625995979,4,6,19
626386356,2,1,19
628879103,6,2,19
630309511,9,1,19
647694597,5,9,20
649878869,2,7,20
650595394,8,3,20
650711063,1,8,20
650949104,4,4,20
651942366,3,10,20
655178516,7,2,20
656590608,10,9,20
657488872,9,3,20
659972852,6,10,20
677683478,4,4,21
680387483,10,1,21
682195457,1,4,21
684366015,7,5,21
685366470,5,7,21
685550745,2,8,21
685582227,6,2,21
686176738,3,8,21
688528260,9,7,21
689642270,8,5,21
707054814,1,8,22
713660353,6,8,22
714632095,5,7,22
715129866,3,10,22
715792855,4,6,22
716247011,9,1,22
717606232,10,3,22
717858531,7,1,22
719564144,8,9,22
720573856,2,4,22
736864239,3,3,23
738289209,1,10,23
738559158,2,8,23
741361019,8,8,23
742769728,6,4,23
743028108,10,10,23
743655405,7,3,23
746277228,4,7,23
748803972,5,8,23
748918887,9,1,23
766347851,6,4,24
766957243,4,7,24
767899754,8,2,24
768426219,10,4,24
769169254,3,7,24
772651979,2,2,24
775577084,5,10,24
775898563,1,8,24
777811655,7,5,24
778184511,9,1,24
795761356,2,5,25
796356385,9,1,25
801634130,8,5,25
803733528,7,7,25
804957228,6,3,25
806504119,4,10,25
807883908,1,2,25
808160593,10,9,25
808966130,3,5,25
809061457,5,7,25
827242312,1,6,26
827699744,6,7,26
828753869,2,1,26
830210221,5,7,26
831325137,9,1,26
831439145,8,9,26
832467904,7,3,26
832965655,4,8,26
834184878,3,1,26
834262483,10,5,26
856608529,7,6,27
857848093,10,4,27
858236020,8,7,27
859122009,9,9,27
860871616,6,4,27
863976708,1,8,27
864324103,4,7,27
864606755,3,9,27
869425744,2,1,27
869507097,5,9,27
887793883,9,3,28
891903628,3,9,28
895441618,4,3,28
895647720,5,7,28
895907895,8,9,28
896086064,1,10,28
897457468,10,10,28
897863244,2,1,28
898256638,7,6,28
899144728,6,10,28
919295830,5,7,29
919454769,8,3,29
924075504,3,4,29
924363493,4,1,29
925491016,7,3,29
926570458,1,6,29
926910119,2,2,29
928629102,6,5,29
930340759,9,4,29
930442506,10,3,29
946173521,8,5,30
948092905,7,2,30
948348616,3,6,30
948382097,5,9,30
948620733,2,10,30
948855992,6,3,30
949464332,1,10,30
952371859,10,7,30
955012636,9,6,30
956160371,4,9,30
976719263,1,1,31
977675978,6,2,31
978488874,9,7,31
979832246,4,8,31
980418734,10,4,31
982522723,5,4,31
983178515,7,2,31
984847622,2,8,31
985345398,8,10,31
986832991,3,9,31
1006513005,3,9,32
1010016122,1,1,32
1011309159,2,8,32
1012306007,8,10,32
1013670835,5,10,32
1014772265,7,4,32
1017004103,6,6,32
1017668884,9,9,32
1020355355,4,6,32
1021129347,10,2,32
1035631641,7,7,33
1036667605,2,5,33
1037188015,1,5,33
1042291309,8,2,33
1045004344,10,9,33
1046215761,9,3,33
1047059878,3,8,33
1047340656,4,6,33
1048863477,6,3,33
1049905209,5,1,33
1067257098,5,7,34
1067879866,3,8,34
1069730992,6,5,34
1070234871,1,3,34
1077384132,8,6,34
1077934510,9,9,34
1079175747,2,5,34
1079699104,4,6,34
1079921028,7,7,34
1080356234,10,5,34
1096428974,5,1,35
1097152867,6,6,35
1097249156,7,8,35
1098156765,1,1,35
1101493504,8,5,35
1103722621,2,1,35
1105778108,10,6,35
1106433480,4,8,35
1109614241,3,5,35
1110106388,9,6,35
1127934879,3,9,36
1131050979,6,4,36
1131863872,9,6,36
1134866472,5,3,36
1135662892,7,10,36
1136176219,10,2,36
1136953620,1,9,36
1137542857,4,10,36
1137613247,2,7,36
1138657896,8,7,36
1161413349,5,8,37
1161723247,9,2,37
1162187833,7,10,37
1162785352,6,3,37
1164204771,8,1,37
1165027230,4,8,37
1167356753,3,3,37
1167886357,2,4,37
1167910594,10,6,37
1168625514,1,3,37
1186552300,9,4,38
1188633850,1,10,38
1188928516,7,4,38
1190120978,4,4,38
1191874887,5,10,38
1192192807,10,6,38
1192653629,3,1,38
1193605992,6,9,38
1195626646,8,3,38
1196151981,2,8,38
1216551219,10,1,39
1219233332,5,1,39
1222261356,2,9,39
1222825507,3,10,39
1224730356,4,4,39
1225037889,7,7,39
1225910746,9,8,39
1226027869,6,2,39
1226923522,8,4,39
1227992333,1,4,39
1247098246,9,4,40
1248442364,3,6,40
1250671030,7,1,40
1253160354,6,10,40
1254168805,10,7,40
1255726688,1,2,40
1255759131,8,6,40
1256253869,2,3,40
1258074104,4,8,40
1260272721,5,5,40
1277808477,4,9,41
1278069597,5,10,41
1279320457,1,6,41
1282839481,2,9,41
1283967904,7,8,41
1284332620,9,4,41
1284868506,8,6,41
1285269728,6,1,41
1288676739,3,1,41
1291090610,10,10,41
1307700505,3,1,42
1307941996,9,8,42
1315738718,10,8,42
1316262241,6,3,42
1317303517,7,6,42
1318352882,8,2,42
1318500496,1,7,42
1318894496,2,7,42
1319113493,4,5,42
1320264582,5,8,42
1335927298,9,4,43
1337249884,5,9,43
1337934116,6,6,43
1338910370,4,8,43
1340514780,7,9,43
1343973094,10,10,43
1344212254,8,4,43
1347469262,1,1,43
1348747379,3,5,43
1349191371,2,8,43
1366526980,2,8,44
1371669253,3,7,44
1372285747,9,6,44
1374457227,6,2,44
1374546029,7,1,44
