rts,src,dest,seqn,hops
47866656,3,8,0,1
48140550,8,7,0,3
50891639,4,7,0,2
51798815,9,8,0,1
53382089,1,2,0,1
55973207,6,6,0,0
56392124,5,7,0,1
57033801,7,3,0,2
59049014,2,8,0,5
59631469,10,6,0,2
76364594,9,5,1,3
78117853,4,5,1,3
79343216,3,10,1,1
80358073,6,9,1,4
82479627,8,9,1,1
82544067,10,9,1,1
86045840,5,4,1,3
87734417,1,8,1,4
90030906,7,10,1,1
91096915,2,3,1,4
106256476,5,2,2,1
107136420,9,1,2,3
107423834,3,8,2,1
110195128,1,2,2,1
110406018,7,10,2,1
112079844,4,7,2,2
112355609,2,9,2,4
112669187,6,9,2,4
113442718,10,2,2,2
116078516,8,7,2,3
137105737,7,9,3,2
137169792,4,9,3,5
138194706,1,2,3,1
141343260,6,10,3,3
142049772,3,8,3,1
143154499,5,10,3,3
143892625,10,7,3,1
147453407,9,7,3,2
149658133,8,3,3,1
150830566,2,7,3,1
166200731,4,1,4,2
166386358,8,1,4,4
166675341,6,8,4,5
166953126,9,7,4,2
168220270,2,3,4,4
170543946,10,9,4,1
171732632,3,4,4,5
172799102,5,8,4,5
173919187,7,9,4,2
176593253,1,10,4,2
199444003,5,2,5,1
200234420,6,8,5,5
200864614,3,5,5,3
201893360,9,9,5,0
204509985,4,1,5,2
205256540,1,2,5,1
206106864,8,9,5,1
206346039,7,3,5,2
209513182,10,1,5,2
210902195,2,2,5,0
227924017,6,8,6,5
228294432,3,9,6,1
229420197,1,4,6,2
229856557,8,9,6,1
230921964,2,4,6,3
231459441,7,7,6,0
233471840,10,3,6,1
233701924,9,7,6,2
234420690,5,4,6,3
238950369,4,1,6,2
257484420,5,8,7,5
257919925,10,9,7,1
258283897,9,9,7,0
258320024,3,3,7,0
260533133,8,3,7,1
262053985,4,5,7,3
263882298,1,2,7,1
265630358,6,6,7,0
266545745,2,4,7,3
267131334,7,7,7,0
286038756,3,3,8,0
286450777,10,1,8,2
289232620,7,9,8,2
290252649,9,9,8,0
291484306,5,4,8,3
293756107,6,2,8,1
294858153,2,4,8,3
296636954,8,1,8,4
318286026,4,4,9,0
319570232,1,6,9,1
321677153,9,5,9,3
322511546,10,1,9,2
324570314,5,6,9,2
325449371,7,1,9,1
326514558,2,7,9,1
327710650,3,3,9,0
327793981,8,9,9,1
329029699,6,10,9,3
345891996,9,7,10,2
351866746,2,5,10,1
354172306,5,4,10,3
355034542,8,3,10,1
355169172,10,9,10,1
355653129,4,4,10,0
356569996,1,2,10,1
357342815,6,10,10,3
357823969,3,1,10,3
359658831,7,3,10,2
376825417,9,1,11,3
377411032,6,6,11,0
377505410,4,2,11,2
377843836,5,10,11,3
378115957,3,5,11,3
380471019,2,3,11,4
382055702,8,5,11,4
385470074,7,3,11,2
385891780,10,7,11,1
388945280,1,2,11,1
407154086,5,10,12,3
408005251,4,6,12,1
412819323,9,6,12,3
413443815,10,6,12,2
414700264,2,1,12,1
415299897,6,8,12,5
416991605,7,5,12,1
418567970,3,2,12,3
418717193,1,10,12,2
419116688,8,5,12,4
437381106,3,2,13,3
441905339,5,10,13,3
443840646,4,4,13,0
445194483,9,2,13,3
446799897,6,8,13,5
446819436,10,6,13,2
447920204,2,9,13,4
448755627,1,2,13,1
449512144,8,1,13,4
450419608,7,9,13,2
468048796,4,8,14,6
470845766,8,3,14,1
473058437,10,10,14,0
473606992,7,9,14,2
474113042,3,8,14,1
475297304,1,4,14,2
477491743,2,5,14,1
478233430,6,4,14,1
478383319,5,6,14,2
479409880,9,3,14,1
498279615,9,10,15,1
498297057,1,4,15,2
498672010,5,8,15,5
502469136,3,10,15,1
503234524,2,4,15,3
504429204,7,5,15,1
505732963,6,4,15,1
506740988,10,5,15,2
508669722,4,4,15,0
509856940,8,9,15,1
526966524,6,10,16,3
