sts,src,dest,seqn
47793475,3,8,0
47989210,8,7,0
50798907,4,7,0
51741784,9,8,0
53303560,1,2,0
55970484,6,6,0
56353844,5,7,0
56941021,7,3,0
58719396,2,8,0
59555405,10,6,0
76227156,9,5,1
77970801,4,5,1
79278821,3,10,1
80079880,6,9,1
82161104,8,9,1
82164799,10,9,1
85900740,5,4,1
87537955,1,8,1
89987988,7,10,1
90828792,2,3,1
106220664,5,2,2
106953117,9,1,2
107371603,3,8,2
110147310,1,2,2
110386951,7,10,2
111939530,4,7,2
112040077,2,9,2
112244292,6,9,2
113352279,10,2,2
115926711,8,7,2
136736425,4,9,3
136745431,7,9,3
138132653,1,2,3
141213061,6,10,3
141980993,3,8,3
142955060,5,10,3
143837898,10,7,3
147375013,9,7,3
149598606,8,3,3
150758846,2,7,3
165955156,4,1,4
166036086,8,1,4
166345486,6,8,4
166843743,9,7,4
167977651,2,3,4
170501085,10,9,4
171512226,3,4,4
172549700,5,8,4
173800468,7,9,4
176491063,1,10,4
199408183,5,2,5
199940203,6,8,5
200746620,3,5,5
201890636,9,9,5
204377051,4,1,5
205225454,1,2,5
206082980,8,9,5
206222361,7,3,5
209422981,10,1,5
210899471,2,2,5
227642360,6,8,6
228270407,3,9,6
229334811,1,4,6
229801711,8,9,6
230781896,2,4,6
231456717,7,7,6
233438587,10,3,6
233609369,9,7,6
234251915,5,4,6
238845781,4,1,6
257237258,5,8,7
257860480,10,9,7
258281173,9,9,7
258317300,3,3,7
260473605,8,3,7
261892676,4,5,7
263820153,1,2,7
265627634,6,6,7
266391291,2,4,7
267128610,7,7,7
286036032,3,3,8
286329212,10,1,8
289097343,7,9,8
290249925,9,9,8
291330038,5,4,8
293720459,6,2,8
294735023,2,4,8
295611407,4,9,8
295678560,1,4,8
296442336,8,1,8
318283302,4,4,9
319522330,1,6,9
321546888,9,5,9
322376106,10,1,9
324439433,5,6,9
325394237,7,1,9
326469416,2,7,9
327707926,3,3,9
327739230,8,9,9
328829882,6,10,9
345765769,9,7,10
351790231,2,5,10
354017690,5,4,10
354958185,8,3,10
355094988,10,9,10
355650252,4,4,10
356507752,1,2,10
357173764,6,10,10
357676810,3,1,10
359534994,7,3,10
376687646,9,1,11
377384645,4,2,11
377408155,6,6,11
377627089,5,10,11
377973685,3,5,11
380212125,2,3,11
381879989,8,5,11
385331888,7,3,11
385766884,10,7,11
388866230,1,2,11
406970819,5,10,12
407979292,4,6,12
412664752,9,6,12
413368059,10,6,12
414680856,2,1,12
415002801,6,8,12
416972495,7,5,12
418403918,3,2,12
418600590,1,10,12
418895615,8,5,12
437262398,3,2,13
441705211,5,10,13
443837770,4,4,13
445023234,9,2,13
446361236,6,8,13
446477453,10,6,13
447727751,2,9,13
448709982,1,2,13
449317508,8,1,13
450269303,7,9,13
467681503,4,8,14
470786238,8,3,14
473055558,10,10,14
473488053,7,9,14
474091413,3,8,14
475195251,1,4,14
477446479,2,5,14
478204985,6,4,14
478299855,5,6,14
479359521,9,3,14
498031415,9,10,15
498053732,1,4,15
498158336,5,8,15
502449899,3,10,15
503118375,2,4,15
504410015,7,5,15
505690356,6,4,15
506664951,10,5,15
508666845,4,4,15
509833133,8,9,15
526783140,6,10,16
527144371,7,5,16
528079365,10,1,16
531039755,9,4,16
531485174,2,2,16
531551865,8,1,16
535869004,4,6,16
536288089,1,2,16
537293628,3,2,16
539189566,5,6,16
559316178,7,5,17
563126171,10,9,17
563398234,9,6,17
563778974,3,10,17
565392533,6,1,17
566223758,8,8,17
566354345,4,4,17
568219570,2,4,17
569674910,5,8,17
570897484,1,10,17
587447128,4,6,18
588090557,8,2,18
588241966,9,10,18
590284928,7,5,18
590767692,5,6,18
593844921,10,5,18
595871754,3,6,18
598814213,2,4,18
599306943,6,1,18
599882751,1,2,18
617672695,2,7,19
618056522,4,8,19
619081890,7,2,19
620241231,1,6,19
621824951,8,2,19
626234538,9,1,19
626481147,3,8,19
626516882,10,1,19
627377086,5,8,19
630353841,6,10,19
648975589,1,6,20
649419597,8,2,20
650453270,9,3,20
654400253,4,4,20
654720817,5,2,20
654824881,3,10,20
655276814,7,8,20
658430857,2,7,20
660790881,10,3,20
660923763,6,2,20
675875148,9,1,21
676278057,8,4,21
676559253,3,4,21
681084981,1,8,21
681477751,2,1,21
681954382,10,5,21
682134647,4,2,21
688455212,5,10,21
690158157,6,5,21
690262091,7,4,21
706343896,9,3,22
706364364,8,5,22
710196480,2,7,22
712570251,1,4,22
713879934,3,1,22
715049853,5,10,22
715719989,10,5,22
718729292,4,2,22
719181943,6,7,22
719354914,7,6,22
737390776,9,1,23
737428732,1,8,23
738199952,8,4,23
738228838,6,3,23
740587774,4,8,23
743464335,7,2,23
743908337,5,6,23
744301829,3,9,23
745868375,2,5,23
750391883,10,5,23
767817436,3,3,24
768663089,1,10,24
769109451,9,9,24
771947569,6,3,24
775360614,10,3,24
777794597,8,4,24
777837106,2,7,24
778752067,5,6,24
779042439,7,8,24
780431503,4,6,24
796739309,3,9,25
797781325,9,3,25
799657507,10,9,25
802651834,7,6,25
803737410,5,2,25
804653123,8,9,25
805619464,6,3,25
806272481,1,8,25
807416845,4,6,25
809134000,2,1,25
827621770,3,3,26
827830192,5,8,26
830520631,8,3,26
830876240,10,5,26
832352730,2,9,26
833588195,6,3,26
836509629,4,8,26
836804485,9,5,26
838257750,1,2,26
838995565,7,5,26
857616230,1,6,27
857885001,6,9,27
858274624,2,1,27
859645579,3,1,27
861594920,10,1,27
862984538,9,9,27
864035015,7,7,27
865939586,5,2,27
867619021,4,4,27
868458133,8,1,27
888283318,5,10,28
888962754,4,8,28
890472494,7,7,28
890813671,10,5,28
894350588,1,8,28
896176862,8,5,28
896203270,9,7,28
897103821,6,9,28
898614308,3,3,28
899743355,2,3,28
917235633,10,6,29
920197147,4,2,29
922523235,9,4,29
922769388,7,7,29
923517711,5,8,29
924025713,6,4,29
926411205,3,5,29
926459982,1,10,29
928848758,8,3,29
929290250,2,4,29
947629935,3,9,30
948908139,6,2,30
950868059,10,10,30
951988122,7,3,30
954205191,5,8,30
954610176,2,8,30
954791793,4,4,30
955366967,9,6,30
956945252,1,6,30
957114363,8,9,30
976910016,7,7,31
979517533,6,2,31
979803735,1,10,31
980314589,5,2,31
981852253,9,6,31
982344569,2,2,31
987051831,3,6,31
988150274,4,8,31
988286261,8,7,31
989977406,10,5,31
1006723739,8,3,32
1006994005,4,10,32
1007861261,6,6,32
1008939215,2,10,32
1008966420,3,10,32
1009658318,5,6,32
1014347496,7,5,32
1017797021,9,1,32
1019038088,1,8,32
1019688671,10,1,32
1036270614,8,9,33
1037324881,3,10,33
1038647483,1,2,33
1038892711,5,2,33
1040595657,6,5,33
1041644389,7,7,33
1042968914,9,9,33
1046110634,10,5,33
1046797695,2,9,33
1050479348,4,8,33
1067579366,10,10,34
1067632750,1,4,34
1069863120,7,9,34
1070059273,3,7,34
1072937646,9,4,34
1073883982,2,5,34
1074697570,6,3,34
1076692509,8,7,34
1077487355,5,8,34
1079572128,4,8,34
1096352451,10,8,35
1097055876,2,5,35
1098181523,4,2,35
1099845837,5,7,35
1100991232,1,2,35
1101208115,8,7,35
1103161186,3,5,35
1104320108,9,4,35
1105784928,7,1,35
1110369376,6,5,35
1125914752,9,4,36
1126725590,1,2,36
1127338127,6,3,36
1131253678,7,3,36
1132885250,5,1,36
1134016863,10,3,36
1137024607,2,3,36
1138356128,3,6,36
1140525254,4,2,36
1140778059,8,2,36
1156012452,8,2,37
1156341473,3,5,37
1161682142,5,3,37
1162273236,9,2,37
1163800551,7,7,37
1164259648,4,8,37
1165635089,6,5,37
1166563760,10,9,37
1169834983,1,6,37
1170821501,2,1,37
1186282489,10,7,38
1187519304,7,1,38
1188116966,9,6,38
1192775694,6,5,38
1194317435,3,5,38
1197320250,1,2,38
1197900873,5,5,38
1197930858,2,7,38
1198607097,8,2,38
1199854291,4,2,38
1215712772,4,2,39
1216977821,2,3,39
1217239312,3,1,39
1219454385,10,3,39
1221322767,5,8,39
1221691179,7,5,39
1227572588,6,3,39
1227602310,9,4,39
1229178733,1,7,39
1229965580,8,6,39
1245731129,3,6,40
1247219988,10,7,40
1251308040,7,10,40
1251556503,4,4,40
1253791318,6,9,40
1255955192,5,4,40
1259153057,8,2,40
1259968143,1,7,40
1260304466,9,10,40
1260696480,2,9,40
1276064585,5,4,41
1279265038,1,5,41
1279387431,8,8,41
1279716415,3,8,41
1283289752,9,4,41
1285368374,2,7,41
1286213213,6,7,41
1287891884,10,3,41
1290541846,4,2,41
1290542458,7,9,41
1305997951,8,9,42
1308436895,1,5,42
1309837753,4,8,42
1310074897,3,4,42
1310408318,5,8,42
1310648234,9,5,42
1314860615,10,7,42
1315681943,6,3,42
1318644371,7,1,42
1319337104,2,5,42
1336403915,3,8,43
1337483788,1,3,43
1337633999,2,9,43
1338298133,10,3,43
1340331888,7,7,43
1343229347,4,8,43
1343664756,9,10,43
1343958185,8,1,43
1344728838,6,3,43
1349642712,5,8,43
1366852730,2,1,44
1368119445,6,7,44
1369405644,1,5,44
1370262378,3,6,44
1370766864,10,9,44
1370972496,7,1,44
1372237357,5,10,44
1373879989,8,3,44
1375322128,4,6,44
1377023214,9,8,44
1397666339,6,9,45
1399595836,5,4,45
1400774626,2,5,45
1402202538,1,9,45
1402352308,9,2,45
1404269301,7,2,45
1405931523,4,6,45
1406895632,8,3,45
1409735634,10,3,45
1410449897,3,4,45
1427439570,5,10,46
1429039754,9,6,46
1429275253,4,2,46
1431322569,6,3,46
1432293629,3,10,46
1434833113,8,3,46
1438251239,10,5,46
1438874395,1,7,46
1439199591,7,10,46
1440790231,2,9,46
1456924910,5,9,47
1461058038,7,1,47
1462398236,9,10,47
1462994462,6,9,47
1463778972,3,5,47
1464421287,1,3,47
1465755007,8,7,47
1467173132,10,9,47
1468009648,4,10,47
1469212125,2,1,47
1489241964,9,2,48
1490072747,5,3,48
1490144302,7,3,48
1491004934,3,9,48
1491641865,10,5,48
1495604293,4,2,48
1495680856,2,7,48
1497431943,6,3,48
1497843141,1,1,48
1498192488,8,5,48
1519462751,4,4,49
1521610633,10,5,49
1522649626,2,3,49
1523478838,6,9,49
1524363141,7,10,49
1525727307,9,4,49
1526489384,8,5,49
1529426830,3,2,49
1530140038,1,1,49
1530369641,5,1,49
1547559256,3,6,50
1552118357,2,5,50
1554697147,4,4,50
1555197569,6,6,50
1556311895,1,5,50
1556510248,5,5,50
1557337998,10,10,50
1558172020,9,3,50
1558433065,7,2,50
1560629988,8,3,50
1575668652,3,10,51
1577307144,5,3,51
1578358788,1,7,51
1580196202,10,8,51
1581783157,6,8,51
1582426882,8,3,51
1582667459,7,2,51
1583665250,2,3,51
1585343826,9,9,51
1587291848,4,8,51
1611280645,1,1,52
1611383980,2,5,52
1613312577,9,3,52
1614039933,10,10,52
1614262101,7,8,52
1614645614,8,7,52
1614736263,6,2,52
1615384630,4,8,52
1616012380,3,4,52
1616947750,5,1,52
1636025552,10,7,53
1636109542,9,5,53
1636244643,5,6,53
1641620585,7,2,53
1643470659,6,2,53
1646077540,1,3,53
1647067507,8,4,53
1647246773,3,2,53
1647555878,2,10,53
1649494025,4,7,53
1667674855,5,8,54
1668158435,4,3,54
1668934254,3,4,54
1669075024,7,9,54
1669172135,6,2,54
1671750146,9,7,54
1672993356,2,3,54
1675163089,1,10,54
1679309309,8,4,54
1680719990,10,1,54
1697794651,8,9,55
1699047040,9,9,55
1699540252,2,9,55
1701767533,6,1,55
1702043648,3,7,55
1702533336,5,4,55
1704472520,7,10,55
1705705330,4,6,55
1706772483,1,6,55
