rts,src,dest,seqn,hops
46323513,5,6,0,1
46848391,10,9,0,1
49254189,2,9,0,4
52186479,9,8,0,1
53242444,1,2,0,1
54092582,4,5,0,2
55122295,6,1,0,1
55510183,7,9,0,2
59277709,8,3,0,1
59286950,3,4,0,4
76807424,7,3,1,2
78407445,2,7,1,1
80002261,3,8,1,1
80189269,5,4,1,2
80543942,6,5,1,1
81401814,4,9,1,4
82308357,9,2,1,3
82843411,8,1,1,4
83520180,10,7,1,1
87494788,1,8,1,4
106608130,4,5,2,2
107555887,8,7,2,3
109596036,3,8,2,1
110086191,1,2,2,1
112376341,2,1,2,1
114031692,6,9,2,4
116495347,10,1,2,2
118026794,5,2,2,1
119658111,9,4,2,4
120019894,7,1,2,1
137455409,3,8,3,1
138070582,1,2,3,1
141733711,8,5,3,4
142530146,4,7,3,2
143941834,7,1,3,1
146874074,9,10,3,1
147011166,5,2,3,1
149059751,6,1,3,1
149191592,2,3,3,4
149785896,10,9,3,1
170797104,6,9,4,4
171004443,10,9,4,1
171409988,2,9,4,4
171684004,8,9,4,1
172311883,3,2,4,3
172480106,9,2,4,3
173011001,4,9,4,4
173104797,5,2,4,1
176435738,1,10,4,2
179404381,7,7,4,0
196545686,4,7,5,2
196957459,7,1,5,1
200239097,5,8,5,5
201468976,6,9,5,4
205164333,1,2,5,1
205493377,8,7,5,3
206832284,2,9,5,4
207827097,9,8,5,1
209283665,3,10,5,1
209926318,10,9,5,1
227676061,7,5,6,1
228282442,2,7,6,1
229273577,1,4,6,1
229557920,5,2,6,1
230258073,4,1,6,1
230396346,3,4,6,4
230437880,6,9,6,4
231401425,10,5,6,2
231689456,9,4,6,4
231712016,8,7,6,3
257329451,2,5,7,1
257948227,10,8,7,2
260798720,5,4,7,2
261121453,8,3,7,1
262486659,3,8,7,1
263758086,1,2,7,1
263848054,7,10,7,1
264716006,6,7,7,1
268167629,9,6,7,3
269429948,4,1,7,1
285609101,8,1,8,4
287386049,5,2,8,1
288048136,2,7,8,1
289249047,9,8,8,1
289953796,6,3,8,4
291105440,7,10,8,1
291849459,3,4,8,4
293268348,10,2,8,2
295617254,1,4,8,1
297405017,4,5,8,2
317002868,10,6,9,2
317738631,2,9,9,4
317882981,6,9,9,4
317894495,1,8,9,4
321083846,3,4,9,4
325637133,8,9,9,1
326214027,4,9,9,4
326976962,7,8,9,3
328751796,5,4,9,2
328877080,9,4,9,4
345688987,2,5,10,1
346220924,9,4,10,4
349356193,8,9,10,1
349461417,1,6,10,1
352325722,6,7,10,1
354589472,5,2,10,1
355456260,10,2,10,2
358414508,4,1,10,1
358799537,7,4,10,2
359658909,3,10,10,1
375872497,6,5,11,1
379004851,2,9,11,4
380028016,8,3,11,1
381073938,5,6,11,1
381152702,7,6,11,1
384690520,10,6,11,2
385842807,4,7,11,2
386445893,1,2,11,1
390018127,3,8,11,1
390949293,9,2,11,3
406542817,9,2,12,3
407323524,4,9,12,4
411204625,2,7,12,1
414174078,5,4,12,2
416015870,8,1,12,4
416284198,10,2,12,2
416861881,3,8,12,1
418591122,6,5,12,1
418805116,1,2,12,1
420002602,7,4,12,2
437649866,10,4,13,3
437789816,5,10,13,3
439763053,6,5,13,1
442126522,2,1,13,1
443487140,7,4,13,2
447293619,8,9,13,1
447346347,3,10,13,1
448545468,1,10,13,2
450358584,4,5,13,2
450408570,9,4,13,4
467133341,5,10,14,3
469574447,7,2,14,1
469750657,6,9,14,4
473595463,2,7,14,1
474512478,8,3,14,1
477452723,3,6,14,3
478246051,9,2,14,3
478487266,10,2,14,2
478648997,1,2,14,1
481077183,4,5,14,2
497183891,7,2,15,1
497971577,10,8,15,2
501142216,2,1,15,1
501452883,8,5,15,4
501867955,5,10,15,3
502547421,6,3,15,4
502748995,4,7,15,2
503068521,3,4,15,4
503218097,9,8,15,1
505141576,1,4,15,1
527992566,1,4,16,1
530902993,8,9,16,1
531879354,2,3,16,4
533324260,9,2,16,3
534405889,3,6,16,3
536729917,4,3,16,4
538448877,5,6,16,1
539527576,7,2,16,1
539766229,6,9,16,4
540053162,10,10,16,0
556188604,6,9,17,4
558308313,5,6,17,1
559262010,7,2,17,1
562014491,4,7,17,2
563146638,3,4,17,4
564032833,2,1,17,1
565674895,10,6,17,2
566227145,1,2,17,1
567439759,9,4,17,4
568468547,8,1,17,4
587187347,8,1,18,4
587862007,7,4,18,2
590638238,6,1,18,1
593176885,5,8,18,5
597233710,4,5,18,2
598733927,3,2,18,3
600019986,2,9,18,4
600783913,9,4,18,4
600842415,1,10,18,2
601024831,10,4,18,3
617593214,3,2,19,3
620359283,8,5,19,4
621155303,4,7,19,2
622721504,7,4,19,2
623740659,10,10,19,0
623999317,9,10,19,1
624161142,5,8,19,5
626798523,2,1,19,1
628703801,6,3,19,4
629820896,1,2,19,1
645422240,6,3,20,4
647623995,4,7,20,2
648017185,2,7,20,1
650180166,1,6,20,1
651612031,9,4,20,4
653565108,7,4,20,2
654254909,5,8,20,5
655437051,3,2,20,3
658346908,10,6,20,2
659309318,8,9,20,1
676075492,6,5,21,1
678914563,1,6,21,1
681125033,8,1,21,4
681439019,2,1,21,1
683964831,9,2,21,3
684408819,3,8,21,1
686543305,7,10,21,1
687183049,4,3,21,4
689193786,10,10,21,0
689339538,5,2,21,1
709708017,5,8,22,5
711041811,1,8,22,4
712768285,3,10,22,1
712889389,4,7,22,2
715790635,8,7,22,3
717056264,10,4,22,3
719044242,6,5,22,1
719926177,2,3,22,4
720649179,7,8,22,3
720699324,9,6,22,3
737758757,7,8,23,3
738814828,9,4,23,4
740923952,5,4,23,2
741343528,8,5,23,4
741973303,2,9,23,4
742508216,1,4,23,1
743341505,6,1,23,1
745515112,3,2,23,3
746040539,10,4,23,3
751073814,4,3,23,4
767385559,1,8,24,4
768691650,2,3,24,4
769043735,8,9,24,1
771152454,9,6,24,3
774108819,3,6,24,3
775023824,4,1,24,1
777536197,5,8,24,5
778090137,7,6,24,1
778115662,10,10,24,0
779578604,6,9,24,4
798228052,8,7,25,3
798608272,1,10,25,2
801324638,7,6,25,1
801392857,9,4,25,4
801955786,3,10,25,1
802500550,6,3,25,4
803237341,10,2,25,2
804883152,5,10,25,3
806820883,4,1,25,1
807345176,2,5,25,1
825918266,7,6,26,1
828057896,4,9,26,4
829983658,9,8,26,1
831281229,8,5,26,4
833950678,6,5,26,1
835313998,2,7,26,1
835587512,10,4,26,3
836202497,3,6,26,3
836229515,1,8,26,4
839726836,5,10,26,3
857803161,10,10,27,0
859283952,7,4,27,2
861196604,8,7,27,3
865198913,5,2,27,1
865516423,6,9,27,4
865610878,2,7,27,1
866467874,4,5,27,2
866799371,3,8,27,1
868195893,1,2,27,1
869968098,9,8,27,1
886216242,6,5,28,1
887555164,1,6,28,1
890848063,2,9,28,4
895074452,9,2,28,3
895143288,3,10,28,1
895653108,8,9,28,1
896936324,4,7,28,2
899133707,7,8,28,3
899292758,5,6,28,1
900396913,10,10,28,0
916877561,3,8,29,1
919199885,8,3,29,1
920605829,7,2,29,1
923183413,9,2,29,3
924307923,1,8,29,4
927751711,2,7,29,1
928406866,6,3,29,4
928756287,10,10,29,0
928926283,5,8,29,5
928983263,4,7,29,2
945937494,8,5,30,4
946527318,9,2,30,3
947618792,10,4,30,3
947695699,4,1,30,1
953375710,6,3,30,4
954699453,7,2,30,1
955238719,2,9,30,4
956404757,1,10,30,2
957245725,5,2,30,1
958483909,3,2,30,3
976330701,3,10,31,1
977993114,5,10,31,3
979761830,9,6,31,3
981154001,6,1,31,1
982767130,2,7,31,1
985109227,8,5,31,4
985308894,7,6,31,1
986883323,1,6,31,1
989386457,4,9,31,4
991084414,10,10,31,0
1006355641,9,6,32,3
1009748666,1,10,32,2
1010391145,6,3,32,4
1015342512,4,7,32,2
1017078303,8,1,32,4
1017193270,3,4,32,4
1018190456,10,2,32,2
1018485867,2,5,32,1
1018658855,7,4,32,2
1019573851,5,2,32,1
1035676726,2,9,33,4
1038445716,5,10,33,3
1042794473,6,7,33,1
1043721391,9,4,33,4
1043856235,8,9,33,1
1044799994,10,6,33,2
1047171287,3,6,33,3
1048652030,4,3,33,4
1048995010,1,8,33,4
1049387020,7,6,33,1
1067626488,2,5,34,1
1068586498,1,2,34,1
1070074957,8,3,34,1
1070281784,6,9,34,4
1070870311,4,9,34,4
1073271523,3,4,34,4
1075558650,9,6,34,3
1076143756,10,2,34,2
1076992941,7,8,34,3
1079277106,5,2,34,1
1097570779,1,4,35,1
1098374465,3,2,35,3
1098442103,2,3,35,4
1099043139,9,6,35,3
1102496831,8,3,35,1
1105852488,7,8,35,3
1106328693,6,3,35,4
1107884286,10,4,35,3
1108285781,5,8,35,5
1109792288,4,3,35,4
1127047430,6,3,36,4
1127705629,3,8,36,1
1130930250,1,2,36,1
1131124382,9,10,36,1
1131965579,8,3,36,1
1132683932,7,10,36,1
1133478096,10,4,36,3
1134379585,5,8,36,5
1138642274,2,1,36,1
1141261372,4,9,36,4
1156337364,10,4,37,3
1156664649,1,2,37,1
1156719780,6,3,37,4
1156733758,9,10,37,1
1157940171,3,10,37,1
1160464539,5,2,37,1
1161796018,4,5,37,2
1162674602,7,4,37,2
1167064087,2,1,37,1
1168031082,8,1,37,4
1186508264,4,1,38,1
1186762115,7,10,38,1
1189174969,10,6,38,2
1189808316,5,6,38,1
1190669485,6,1,38,1
1193077412,9,8,38,1
1194533816,3,8,38,1
1195749859,8,5,38,4
1197532837,2,1,38,1
1199773920,1,6,38,1
1217824262,9,6,39,3
1217877883,7,3,39,2
1217905656,3,6,39,3
1219042661,5,2,39,1
1222159227,10,6,39,2
1222698757,4,3,39,4
1226579609,2,5,39,1
1227258391,1,2,39,1
1228421781,8,1,39,4
1229966296,6,1,39,1
1247655373,4,5,40,2
1251240661,10,10,40,0
1252184996,6,5,40,1
1252417973,9,6,40,3
1253749350,3,6,40,3
1255371759,8,3,40,1
1256298521,2,1,40,1
1257661166,5,8,40,5
1258529687,7,7,40,0
1259117665,1,6,40,1
1277464550,4,3,41,4
1279221251,3,8,41,1
1280008149,5,10,41,3
1282277319,9,2,41,3
1283076561,7,7,41,0
1284125685,6,3,41,4
1285988594,2,3,41,4
1286687331,8,5,41,4
1287352024,1,4,41,1
1290350037,10,10,41,0
1308120931,9,6,42,3
1311683090,4,3,42,4
1312807478,7,3,42,2
1314967256,1,10,42,2
1315705987,10,8,42,2
1315863987,5,8,42,5
1318957240,2,9,42,4
1319315159,3,10,42,1
1319594263,6,3,42,4
1319906489,8,1,42,4
1336943304,3,4,43,4
1337105635,9,6,43,3
1338952159,1,10,43,2
1339141150,6,3,43,4
1340336243,5,10,43,3
1343092641,4,7,43,2
1343236018,2,1,43,1
1343940626,10,2,43,2
1344821613,8,7,43,3
1348979381,7,3,43,2
1366186886,9,10,44,1
1366278076,8,3,44,1
1366948218,7,9,44,2
1370454551,2,5,44,1
1372555071,4,1,44,1
1373280662,3,6,44,3
1374534149,10,2,44,2
1374860053,6,3,44,4
1378305069,1,4,44,1
1380430022,5,10,44,3
1395824870,8,9,45,1
1399033264,5,4,45,2
1402296228,9,8,45,1
1403745244,7,3,45,2
1405002563,3,8,45,1
1405881287,10,10,45,0
1406039646,1,2,45,1
1406376554,2,5,45,1
1407013054,6,5,45,1
1407608573,4,7,45,2
1426737409,10,6,46,2
1427658580,9,4,46,4
1430596408,3,10,46,1
1431981742,6,5,46,1
1432963819,7,3,46,2
1435395458,5,8,46,5
1435543696,8,3,46,1
1436326982,4,7,46,2
1438845244,2,5,46,1
1439166695,1,8,46,4
1458468200,3,6,47,3
1459633308,1,6,47,1
1460227951,10,4,47,3
1463392185,2,7,47,1
1463727831,8,7,47,3
1464379487,7,1,47,1
1464874284,9,8,47,1
1465011385,4,3,47,4
1466117521,5,10,47,3
1466797385,6,3,47,4
1486487003,9,4,48,4
1489967934,4,5,48,2
1491705197,5,4,48,2
1491842186,7,7,48,0
1493016325,6,9,48,4
1494303160,10,10,48,0
1495311998,3,6,48,3
1498498631,1,10,48,2
1499702976,8,5,48,4
1500111022,2,1,48,1
1519283851,3,10,49,1
1519895115,7,1,49,1
1520558250,5,6,49,1
1522839730,9,2,49,3
1524733373,1,10,49,2
1525419481,6,7,49,1
1527282701,2,1,49,1
1528276992,4,9,49,4
1530481136,8,3,49,1
1530931322,10,4,49,3
1546613860,7,1,50,1
1548683603,9,6,50,3
1550396448,3,4,50,4
1554256289,10,10,50,0
1554907022,6,3,50,4
1555699986,8,9,50,1
1556354332,1,8,50,4
1557426566,5,8,50,5
1559495399,4,3,50,4
1560269771,2,3,50,4
1580405316,4,5,51,2
1581285870,7,10,51,1
1582411261,5,8,51,5
1583935110,6,1,51,1
1586320977,1,2,51,1
1587121822,8,9,51,1
1588174368,9,4,51,4
1588996748,10,3,51,1
1590066766,2,3,51,4
1590486940,3,8,51,1
1607598593,10,7,52,1
1607830625,3,8,52,1
1608874063,4,5,52,2
1611486520,5,4,52,2
1611799698,7,4,52,2
1614680064,1,2,52,1
1615267232,2,7,52,1
1615672507,6,3,52,4
1616609360,8,5,52,4
1619267763,9,4,52,4
1637344793,6,9,53,4
1637420808,4,7,53,2
1637614245,5,8,53,5
1640414522,1,4,53,1
1647077630,3,6,53,3
1648164889,7,8,53,3
1648270389,10,3,53,1
1648655887,8,5,53,4
1648689051,2,5,53,1
1650877423,9,4,53,4
1666671277,3,2,54,3
1668151894,4,3,54,4
1669945659,5,10,54,3
1670374911,8,5,54,4
1671214823,9,2,54,3
1671294472,6,7,54,1
1675239214,10,7,54,1
1675996493,7,10,54,1
1676541811,1,8,54,4
1680176128,2,9,54,4
1696030707,3,6,55,3
1696046773,8,1,55,4
1696223324,2,9,55,4
1696949329,9,2,55,3
1697536137,10,3,55,1
1701008393,1,2,55,1
