sts,src,dest,seqn
46058000.0,8,1,0
46684000.0,7,7,0
48565000.0,2,7,0
49450000.0,5,7,0
50275000.0,6,4,0
50755000.0,4,7,0
52828000.0,1,2,0
53198000.0,10,3,0
59103000.0,3,3,0
59654000.0,9,4,0
76745000.0,10,1,1
77355000.0,8,7,1
77612000.0,2,1,1
77747000.0,5,7,1
77926999.99999999,4,5,1
79634000.0,6,6,1
83150000.0,3,1,1
86856000.0,7,1,1
86888000.0,9,8,1
87062000.0,1,8,1
108888000.0,5,5,2
109478000.00000001,6,4,2
109565000.0,10,10,2
109672000.0,1,2,2
110029000.0,9,6,2
111896000.0,4,7,2
113143000.0,8,2,2
113824000.0,7,3,2
117978000.00000001,3,1,2
119331000.0,2,3,2
136299000.0,10,2,3
136685000.0,5,1,3
136693000.0,4,9,3
137657000.0,1,3,3
138002000.0,2,9,3
138621000.0,7,7,3
139025000.0,3,9,3
139263000.0,9,8,3
147963000.0,6,9,3
148378000.0,8,10,3
165912000.0,4,1,4
166840000.0,7,1,4
167331000.00000003,8,6,4
167633000.0,1,9,4
167858000.0,9,4,4
168189000.0,6,9,4
173894000.0,10,8,4
174379000.0,5,4,4
176971000.0,2,3,4
178744000.0,3,7,4
196065000.0,8,4,5
196216999.99999997,9,2,5
197365000.0,5,7,5
198262000.0,7,10,5
200611000.0,6,9,5
201555000.0,1,3,5
204333000.0,4,1,5
204416000.0,3,9,5
210268000.0,2,7,5
210752000.0,10,8,5
225660000.0,8,8,6
226546000.0,9,2,6
227384000.0,3,9,6
227487000.0,2,3,6
229763000.0,5,7,6
234352000.0,1,1,6
236079000.0,6,7,6
238802000.0,4,1,6
240394000.0,7,10,6
240596000.0,10,4,6
257581000.00000003,10,2,7
260125999.99999997,6,3,7
261849000.0,4,5,7
262077999.99999997,1,7,7
263560000.0,5,3,7
265504000.00000003,7,9,7
266518000.00000003,8,8,7
268681000.0,3,8,7
270404000.0,9,2,7
270409000.0,2,9,7
285963000.0,2,5,8
286792000.00000006,10,4,8
288486000.0,6,5,8
293233000.0,9,6,8
294362000.0,8,8,8
294778000.0,5,5,8
295168000.0,7,1,8
295568000.0,4,9,8
295570000.0,1,3,8
297611000.0,3,6,8
318240000.0,4,1,9
318470000.0,3,6,9
318992000.0,1,7,9
319143000.0,2,9,9
319347000.0,8,4,9
323715000.0,7,3,9
325592000.0,9,2,9
326200000.0,5,10,9
327783000.0,10,9,9
328783000.0,6,1,9
347433999.99999994,7,5,10
351362000.0,2,7,10
351832999.99999994,5,2,10
354658000.0,3,6,10
355209000.0,4,3,10
355289000.0,1,9,10
356550000.0,8,4,10
356948000.0,10,3,10
357435000.0,9,2,10
360001000.0,6,5,10
377917000.00000006,10,9,11
379923000.0,6,3,11
380653000.0,7,8,11
382284000.0,2,1,11
383392000.0,3,3,11
387035000.0,8,6,11
388942000.0,5,6,11
390505000.0,4,6,11
390508000.0,1,9,11
