rts,src,dest,seqn,hops
45682601,5,6,0,1
46829722,10,9,0,1
49188913,2,9,0,4
52482316,9,8,0,1
52790994,1,2,0,1
52955839,8,3,0,1
54090602,4,5,0,2
55829814,7,9,0,2
55923809,6,1,0,1
59398662,3,4,0,4
76377693,8,9,1,1
77127188,7,3,1,2
78341966,2,7,1,1
79548474,5,4,1,2
80113879,3,8,1,1
81345292,6,5,1,1
81399889,4,9,1,4
82604723,9,2,1,3
83501567,10,7,1,1
87043547,1,8,1,4
106606069,4,5,2,2
109634745,1,2,2,1
109707610,3,8,2,1
112310875,2,1,2,1
114833117,6,9,2,4
116476985,10,1,2,2
117385940,5,2,2,1
118912572,8,5,2,4
119954428,9,4,2,4
120339617,7,1,2,1
137567070,3,8,3,1
137619139,1,2,3,1
141827885,8,7,3,3
142528271,4,7,3,2
144261572,7,1,3,1
146370341,5,2,3,1
147169932,9,10,3,1
149126351,2,3,3,4
149767248,10,9,3,1
149861333,6,1,3,1
170985844,10,9,4,1
171344775,2,9,4,4
171598487,6,9,4,4
171843567,8,7,4,3
172423589,3,2,4,3
172463862,5,2,4,1
172776218,9,2,4,3
173009120,4,9,4,4
175984532,1,10,4,2
179723988,7,7,4,0
196543812,4,7,5,2
197277189,7,1,5,1
199598462,5,8,5,5
201271984,8,1,5,4
202270898,6,9,5,4
204712890,1,2,5,1
206766818,2,9,5,4
208123024,9,8,5,1
209395152,3,10,5,1
209907745,10,9,5,1
227995864,7,5,6,1
228216942,2,7,6,1
228821940,1,4,6,1
228916996,5,2,6,1
230256088,4,1,6,1
230507925,3,4,6,4
231239462,6,9,6,4
231382942,10,5,6,2
231985705,9,4,6,4
235768439,8,9,6,1
257263821,2,5,7,1
257923596,10,3,7,1
260157913,5,4,7,2
262604523,3,7,7,2
263306639,1,2,7,1
264167751,7,10,7,1
265517396,6,7,7,1
268463847,9,6,7,3
269427987,4,1,7,1
269690194,8,9,7,1
286745115,5,2,8,1
287982633,2,7,8,1
289544881,9,8,8,1
290755231,6,3,8,4
291425046,7,10,8,1
293705888,8,3,8,1
294262833,3,9,8,1
294642227,10,9,8,1
295165625,1,4,8,1
297402974,4,5,8,2
316809735,3,9,9,1
317419034,1,8,9,4
317672936,2,9,9,4
318676896,6,9,9,4
318813995,10,9,9,1
326127895,8,9,9,1
326212040,4,9,9,4
327296552,7,8,9,3
328111015,5,4,9,2
329173413,9,4,9,4
345623330,2,5,10,1
346517133,9,4,10,4
349010104,1,6,10,1
353127059,6,7,10,1
353948625,5,2,10,1
354643700,8,3,10,1
357140692,7,8,10,3
358412542,4,1,10,1
358541655,3,5,10,3
359789393,10,5,10,2
376673845,6,5,11,1
378713233,3,1,11,3
378939565,2,9,11,4
380433044,5,6,11,1
381565642,8,9,11,1
385840863,4,7,11,2
385994368,1,2,11,1
386586691,10,1,11,2
389106754,7,7,11,0
391245499,9,2,11,3
406838987,9,2,12,3
407321787,4,9,12,4
411083750,7,7,12,0
411139125,2,7,12,1
413533291,5,4,12,2
413663195,3,3,12,0
413798801,10,3,12,1
418353655,1,2,12,1
418600356,8,5,12,4
419392514,6,5,12,1
436478837,3,5,13,3
437005562,7,7,13,0
437149075,5,10,13,3
438220544,10,9,13,1
440564404,6,5,13,1
442061152,2,1,13,1
448094193,1,10,13,2
449003016,8,3,13,1
450356610,4,5,13,2
450705035,9,4,13,4
466492725,5,10,14,3
466695746,10,1,14,2
470552194,6,9,14,4
470678820,3,3,14,0
473529868,2,7,14,1
477486573,7,3,14,2
478197478,1,2,14,1
478542286,9,2,14,3
479537541,8,5,14,4
481075188,4,5,14,2
499033722,7,9,15,2
501076838,2,1,15,1
501227140,5,10,15,3
502746032,10,1,15,2
502754434,4,7,15,2
503349159,6,3,15,4
503513890,9,8,15,1
504681904,1,5,15,1
508119768,3,5,15,3
509453260,8,7,15,3
528569444,3,3,16,0
531456181,8,3,16,1
531814377,2,3,16,4
533620521,9,2,16,3
533874463,1,9,16,3
535454903,10,9,16,1
536727888,4,3,16,4
537807906,5,6,16,1
539847342,7,2,16,1
540567605,6,9,16,4
556990237,6,9,17,4
557667425,5,6,17,1
558890892,8,7,17,3
559581799,7,2,17,1
560622601,3,9,17,1
562012672,4,7,17,2
563967460,2,1,17,1
566126924,10,7,17,1
567736218,9,4,17,4
570421338,1,9,17,3
588181766,7,4,18,2
588843031,1,9,18,3
591412816,8,5,18,4
591439752,6,1,18,1
592536254,5,8,18,5
597231683,4,5,18,2
599095637,10,7,18,1
599954638,2,9,18,4
600335069,3,3,18,0
601080052,9,4,18,4
621153429,4,7,19,2
621315574,8,9,19,1
622127572,1,5,19,1
623041198,7,4,19,2
623520535,5,8,19,5
624295358,9,10,19,1
626733149,2,1,19,1
627019564,3,7,19,2
629398978,10,1,19,2
629505383,6,3,19,4
646223825,6,3,20,4
647622096,4,7,20,2
647951687,2,7,20,1
649331176,8,3,20,1
651311865,1,3,20,3
651908102,9,4,20,4
651988238,3,7,20,2
653614336,5,8,20,5
653884923,7,4,20,2
658611279,10,9,20,1
676876840,6,5,21,1
678284923,3,7,21,2
679359144,1,3,21,3
681373650,2,1,21,1
681753073,8,3,21,1
684261089,9,6,21,3
686533173,10,9,21,1
686862931,7,10,21,1
687181114,4,3,21,4
688698641,5,2,21,1
709067276,5,8,22,5
709092196,9,10,22,1
712887539,4,7,22,2
716503927,3,7,22,2
718280670,1,3,22,3
720287803,8,5,22,4
720969008,7,8,22,3
721008373,10,1,22,2
738072346,7,3,23,2
740283245,5,4,23,2
740413215,3,3,23,0
741895618,2,4,23,2
742588991,9,6,23,3
744757018,6,10,23,3
747065075,1,5,23,1
747190572,8,9,23,1
747548769,10,3,23,1
751071704,4,3,23,4
766900994,3,5,24,3
766965410,2,4,24,2
768749369,1,3,24,3
770206176,8,3,24,1
771689463,9,4,24,4
774273834,10,5,24,2
775021919,4,1,24,1
775224293,7,7,24,0
775587440,6,4,24,1
776895704,5,8,24,5
798445848,10,5,25,2
800292311,9,2,25,3
802628014,8,3,25,1
803283998,1,7,25,1
804242646,5,10,25,3
804428840,3,3,25,0
806819004,4,1,25,1
807200031,2,4,25,2
809071897,6,2,25,1
810777238,7,5,25,1
826699268,1,1,26,0
827495987,7,5,26,1
828056030,4,9,26,4
835408031,10,9,26,1
838143746,8,9,26,1
838623312,9,8,26,1
838780921,2,2,26,0
839086298,5,10,26,3
840174310,3,1,26,3
840192044,6,10,26,3
859078137,8,7,27,3
860319464,3,3,27,0
862714863,7,5,27,1
863168035,1,1,27,0
864211205,10,1,27,2
864558086,5,2,27,1
865376484,9,4,27,4
865775028,6,2,27,1
866465921,4,5,27,2
867159427,2,10,27,3
889300754,3,7,28,2
889427419,7,7,28,0
894100317,8,1,28,4
894964012,9,2,28,3
895214890,1,1,28,0
895990195,2,6,28,1
896934500,4,7,28,2
897131646,6,10,28,3
897430130,10,1,28,2
898651777,5,6,28,1
916468443,2,2,29,0
916810831,9,8,29,1
916845645,10,3,29,1
919099313,7,7,29,0
923847010,6,6,29,0
925521942,8,5,29,4
928286250,5,8,29,5
928981431,4,7,29,2
929103703,3,5,29,3
929155502,1,3,29,3
947693656,4,1,30,1
952314289,10,7,30,1
954074113,7,5,30,1
954322555,3,1,30,3
954446750,6,4,30,1
956604879,5,2,30,1
957667160,9,6,30,3
957952651,1,9,30,3
958592921,2,8,30,5
960037834,8,1,30,4
976639032,9,10,31,1
977352435,5,10,31,3
979605537,1,1,31,0
980367752,10,1,31,2
984731915,3,9,31,1
984940512,8,3,31,1
985306148,6,4,31,1
989385101,7,9,31,2
989394044,4,9,31,4
990190309,2,10,31,3
1005956298,8,9,32,1
1008134984,1,2,32,1
1011751843,9,4,32,4
1012546195,2,8,32,5
1013815993,7,6,32,1
1014200706,3,9,32,1
1014925041,10,10,32,0
1015149936,6,4,32,1
1015340694,4,7,32,2
1018933125,5,2,32,1
1037119232,1,4,33,1
1037805333,5,10,33,3
1038247542,3,9,33,1
1039147166,6,10,33,3
1042268523,2,10,33,3
1045842019,9,8,33,1
1046390715,8,7,33,3
1047300620,7,2,33,1
1048171899,10,6,33,2
1048650087,4,3,33,4
1067198395,9,6,34,3
1070478726,1,2,34,1
1070868576,4,9,34,4
1070906320,8,7,34,3
1072228064,6,4,34,1
1078636252,5,2,34,1
1078843426,2,2,34,0
1079406335,7,8,34,3
1079765470,10,6,34,2
1080966331,3,9,34,1
1096213116,1,2,35,1
1096638162,3,9,35,1
1096721910,2,10,35,3
1101439144,9,4,35,4
1103003575,7,6,35,1
1106125029,10,2,35,2
1107645625,5,8,35,5
1109331387,6,6,35,0
1109790524,4,3,35,4
1109815575,8,3,35,1
1128600697,3,3,36,0
1131577422,2,8,36,5
1133739199,5,8,36,5
1134681194,6,4,36,1
1134975309,10,4,36,3
1135831299,8,9,36,1
1138014075,9,10,36,1
1139322608,1,6,36,1
1139353607,7,4,36,2
1141259354,4,9,36,4
1155562435,2,8,37,5
1157093939,7,8,37,3
1158915594,6,2,37,1
1159823717,5,2,37,1
1161794017,4,5,37,2
1163392559,9,4,37,4
1163440685,10,10,37,0
1163916645,3,5,37,3
1166806861,1,2,37,1
1167271935,8,5,37,4
1186506224,4,1,38,1
1189135156,3,1,38,3
1189167405,5,6,38,1
1191630818,2,6,38,1
1194509444,6,2,38,1
1196229867,9,6,38,3
1196553195,10,4,38,3
1197675370,7,6,38,1
1198666358,1,6,38,1
1198781269,8,7,38,3
1215753118,2,10,39,3
1216534931,7,2,39,1
1217862638,6,6,39,0
1218401835,5,2,39,1
1218709515,8,5,39,4
1219156095,10,6,39,2
1222696929,4,3,39,4
1222701780,9,8,39,1
1226900480,1,4,39,1
1229044414,3,9,39,1
1246499923,10,6,40,2
1247653253,4,5,40,2
1249378665,7,2,40,1
1250712568,6,2,40,1
1251807706,9,2,40,3
1253725178,8,1,40,4
1254516169,1,10,40,2
1256108602,2,8,40,5
1257020348,5,8,40,5
1258525809,3,5,40,3
1277462822,4,3,41,4
1278053839,3,3,41,0
1278423652,9,4,41,4
1278500608,1,10,41,2
1279343298,2,8,41,5
1279367653,5,10,41,3
1281234392,10,6,41,2
1283362887,7,6,41,1
1287196904,6,2,41,1
1288128138,8,9,41,1
1309456611,7,6,42,1
1310936796,2,8,42,5
1311681037,4,3,42,4
1312791643,3,1,42,3
1313662906,8,1,42,4
1314290563,6,4,42,1
1314815665,10,10,42,0
1315223842,5,8,42,5
1316760901,9,6,42,3
1317853585,1,4,42,1
1336265316,2,2,43,0
1336482732,9,3,43,1
1339696068,5,10,43,3
1342950658,3,9,43,1
1343090864,4,7,43,2
1343559836,7,7,43,0
1343584781,8,1,43,4
1345588116,1,2,43,1
1345687360,10,1,43,2
1347893885,6,6,43,0
1366128687,2,10,44,3
1367584591,9,3,44,1
1371243625,6,4,44,1
1372553167,4,1,44,1
1374919396,3,9,44,1
1376477031,10,1,44,2
1376581181,8,3,44,1
1377736446,7,3,44,2
1378715768,1,8,44,4
1379789312,5,10,44,3
1398392468,5,4,45,2
1398599518,2,6,45,1
1399181998,1,6,45,1
1400729089,3,5,45,3
