sts,src,dest,seqn
45673785,5,6,0
46820811,10,9,0
49161073,2,9,0
52473584,9,8,0
52781807,1,2,0
52947061,8,3,0
54075143,4,5,0
55814945,7,9,0
55914641,6,1,0
59370734,3,4,0
76368957,8,9,1
77111906,7,3,1
78332969,2,7,1
79533178,5,4,1
80105129,3,8,1
81336537,6,5,1
81372038,4,9,1
82582981,9,2,1
83492706,10,7,1
87016201,1,8,1
106590770,4,5,2
109625557,1,2,2
109698858,3,8,2
112301700,2,1,2
114805270,6,9,2
116461438,10,1,2
117376911,5,2,2
118884564,8,5,2
119926712,9,4,2
120330639,7,1,2
137558256,3,8,3
137609952,1,2,3
141806459,8,7,3
142512664,4,7,3
144252533,7,1,3
146361305,5,2,3
147161107,9,10,3
149098594,2,3,3
149758332,10,9,3
149852164,6,1,3
170977062,10,9,4
171317323,2,9,4
171570894,6,9,4
171822063,8,7,4
172401984,3,2,4
172455037,5,2,4
172754836,9,2,4
172981394,4,9,4
175969310,1,10,4
179721263,7,7,4
196528288,4,7,5
197268159,7,1,5
199564429,5,8,5
201243958,8,1,5
202242788,6,9,5
204703701,1,2,5
206739219,2,9,5
208114230,9,8,5
209386334,3,10,5
209898958,10,9,5
227986889,7,5,6
228207948,2,7,6
228813058,1,4,6
228908161,5,2,6
230247019,4,1,6
230480083,3,4,6
231211518,6,9,6
231367689,10,5,6
231957962,9,4,6
235759563,8,9,6
257254925,2,5,7
257914582,10,3,7
260142556,5,4,7
262589503,3,7,7
263297451,1,2,7
264158785,7,10,7
265508413,6,7,7
268442355,9,6,7
269418913,4,1,7
269681458,8,9,7
286736288,5,2,8
287973575,2,7,8
289536086,9,8,8
290727144,6,3,8
291416209,7,10,8
293697065,8,3,8
294253914,3,9,8
294633313,10,9,8
295156807,1,4,8
297387645,4,5,8
316800811,3,9,9
317391202,1,8,9
317645468,2,9,9
318649038,6,9,9
318805206,10,9,9
326118958,8,9,9
326184538,4,9,9
327275600,7,8,9
328095680,5,4,9
329145481,9,4,9
345614351,2,5,10
346489364,9,4,10
349000710,1,6,10
353117922,6,7,10
353939564,5,2,10
354634799,8,3,10
357119484,7,8,10
358403421,4,1,10
358519693,3,5,10
359774090,10,5,10
376664815,6,5,11
378691588,3,1,11
378911246,2,9,11
380423957,5,6,11
381556609,8,9,11
385825319,4,7,11
385985105,1,2,11
386570985,10,1,11
389103878,7,7,11
391223758,9,2,11
406817489,9,2,12
407294046,4,9,12
411080873,7,7,12
411129976,2,7,12
413517687,5,4,12
413660318,3,3,12
413789716,10,3,12
418344458,1,2,12
418572218,8,5,12
419383545,6,5,12
436457213,3,5,13
437002685,7,7,13
437127086,5,10,13
438211522,10,9,13
440555440,6,5,13
442051872,2,1,13
448078856,1,10,13
448994110,8,3,13
450340942,4,5,13
450676882,9,4,13
466470816,5,10,14
466680273,10,1,14
470524172,6,9,14
470675943,3,3,14
473520602,2,7,14
477471415,7,3,14
478188210,1,2,14
478520614,9,2,14
479509717,8,5,14
481059671,4,5,14
499018311,7,9,15
501067497,2,1,15
501205208,5,10,15
502727236,10,1,15
502731566,4,7,15
503321063,6,3,15
503505007,9,8,15
504672603,1,5,15
508097838,3,5,15
509431610,8,7,15
528566567,3,3,16
531447217,8,3,16
531786226,2,3,16
533598739,9,2,16
533852640,1,9,16
535445965,10,9,16
536700297,4,3,16
537798938,5,6,16
539838234,7,2,16
540539795,6,9,16
556961689,6,9,17
557658334,5,6,17
558869110,8,7,17
559572630,7,2,17
560613463,3,9,17
561997190,4,7,17
563958121,2,1,17
566117859,10,7,17
567708133,9,4,17
570399535,1,9,17
588166362,7,4,18
588821391,1,9,18
591384716,8,5,18
591430420,6,1,18
592502065,5,8,18
597216004,4,5,18
599086592,10,7,18
599926853,2,9,18
600332193,3,3,18
601051864,9,4,18
621137815,4,7,19
621306611,8,9,19
622118285,1,5,19
623025754,7,4,19
623486458,5,8,19
624286258,9,10,19
626723746,2,1,19
627004089,3,7,19
629383486,10,1,19
629477315,6,3,19
646196046,6,3,20
647606546,4,7,20
647942475,2,7,20
649322217,8,3,20
651290140,1,3,20
651879991,9,4,20
651972819,3,7,20
653580189,5,8,20
653869487,7,4,20
658602214,10,9,20
676867940,6,5,21
678269714,3,7,21
679337036,1,3,21
681364370,2,1,21
681744111,8,3,21
684239383,9,6,21
686524109,10,9,21
686853881,7,10,21
687153441,4,3,21
688689584,5,2,21
709033315,5,8,22
709083115,9,10,22
712872173,4,7,22
716488444,3,7,22
718258890,1,3,22
719833102,2,3,22
719836671,6,5,22
720259718,8,5,22
720947610,7,8,22
720992841,10,1,22
738057005,7,3,23
740267709,5,4,23
740410338,3,3,23
741879996,2,4,23
742567508,9,6,23
744734762,6,10,23
747055784,1,5,23
747181611,8,9,23
747539736,10,3,23
751044066,4,3,23
766879068,3,5,24
766949921,2,4,24
768727639,1,3,24
770197215,8,3,24
771661238,9,4,24
774258465,10,5,24
775012796,4,1,24
775221416,7,7,24
775578490,6,4,24
776861439,5,8,24
798430360,10,5,25
800270633,9,2,25
802619109,8,3,25
